,제목
51,[2019 예산안] 내년 공무원 임금 인상률 1.8%…5년만에 가장 낮은 수준
52,"""최저임금 인상, 고용에 부정적 영향""…김동연 잇따른 소신발언, 경제팀 팀워크 '주목'"
53,"가위손의 눈물 ""최저임금 인상, 우리를 폐업 내몰아"""
54,"경총 ""최저임금 계산때 실제 일한 시간만 포함해야"""
55,"금융노사, 임금 2.6% 인상 등 잠정합의안 도출…""총파업 연기"""
56,"경총 “최저임금 환산시 실제 일한 '소정근로시간'만 포함해야"""
57,최저임금 과속의 역설… 저소득층 취업자 18%가 직장서 밀려나
58,"中企·노동계, 외국인 최저임금 차등화 놓고 찬반 갈등"
59,"""저소득층 일자리 줄고, 고소득층 소득 늘었다""…최저임금發 소득주도성장의 역설"
60,"외국인 최저임금 맞춰주느라, 정작 한국인 직원은 동결"
61,"‘여풍(女風)’ 없는 보험업계, 女임원 비중 10% 미만에 남녀 임금격차도 커"
62,"소상공인·자영업자 ""업종별 최저임금 차등, 근로시간 단축 탄력 적용 빠졌다"""
63,"재래시장 상인들 ""최저임금 사태로 부담 커진 서민들 지갑 안 열어"""
64,"[단독] 최저임금發 기업 노동비용 증가 사상 최대…""수출 경쟁력 추락 우려"""
65,"외식업중앙회 ""최저임금 인상, 자영업자에 사형선고"""
66,"급격한 최저임금 인상, 여성·취약 계층에 피해 집중"
67,"""최저임금 인상후 자영업 매출 12% 줄어… 폐업 올 100만명 넘을 것"""
68,"외식업계 “가파른 최저임금 인상은 사형선고""…""카드 수수료 인하하라"" 요구"
69,소상공인연합회 “고용부 최저임금 행정해석 헌법소원 제기할 것”
70,"""경기둔화로 직장 잃고, 최저임금으로 자영업 실패""…40대 일자리 14만개 소멸"
71,"'고용재난' 취업자수 증가폭 5000명…휴가 중인 김동연 긴급 회의 ""최저임금 인상 영향 일부 있다"""
72,"인구구조, 자동화 때문에…""고용재난, 최저임금 탓 아니다""는 정부의 엉뚱한 설명"
73,"고용부, “최저임금 고시 취소 소송 각하 판결, 당연한 결과”"
74,김동연·김영주 지난달 '최저임금 엇박자'
75,"""최저임금 時給 계산 때 유급휴일까지 포함"""
76,"""한국 최저임금이 과연… 빈곤층에 도움될지 의문"""
77,최저임금 인상 발표 한달…편의점 이어 외식업 주가도 지지부진
78,정부도 소상공인 최저임금 대책 딜레마
79,최저임금 때문에… 사장님도 알바도 '거짓 계약서' 씁니다
80,"현대硏 ""유가 상승·최저임금 인상·폭염으로 공급측 물가상승 압력 커져"""
81,"쌍용차, 9년 연속 무분규 임금협상 타결…임금동결·100만원 지급"
82,'속 타는' 가구업계… 문제는 '최저임금 상승'·'근로시간단축'·'가격인상 어려운 조달시장'
83,"CJ프레시웨이, 최저임금 탓에 2분기 순익 반토막"
84,이마트 2분기 영업익 34% 감소...최저임금·영업시간 단축 탓(종합)
85,"광화문에 소상공인 투쟁본부 설치, 29일 최저임금제 개선 촉구 궐기대회 예정"
86,"아르바이트생 86%, 최저임금 인상 걱정"
87,"최저임금 탓, 편의점·마트 2분기 실적 급감 예상 ""월드컵 특수도 안 통해"""
88,"일자리안정자금, 숙박 음식업 최저임금 근로자 3분의1 못받았다"
89,[투자노트] 최저임금 인상이 부를 '무인혁명'
90,"[경기 진단 설문]① 경제전문가 74% '하강 국면'...""주력산업 약화·최저임금 등 내부 요인탓"""
91,"최저임금 반발, 삭발하는 소상공인들"
92,"소상공인들 ""최저임금 告示, 우리에겐 사형선고… 거리 투쟁"""
93,고용부 “일자리안정자금 업종별 차등 지급…최저임금 결정 방식 사회적 합의 거쳐 바꿀 것”(종합)
94,"‘소상공인 생존권 운동연대’, 29일 광화문서 ‘최저임금 제도개선 촉구 국민대회’ 개최"
95,"2019년 최저임금 8350원으로 확정...중기업계 ""기업 투자 위축, 고용악화” 우려"
96,"전편협 ""최저임금 인상, 사회적 분열만 불러일으켜"""
97,"경총 ""최저임금 8350원 확정, 기업 감당 어려울 것"""
98,최저임금 시간당 8350원 확정…경영계 이의제기 기각
99,"""오늘까지 답주겠다""던 노동부, 경영계 최저임금 이의제기 3일에서야 회신한다"
100,"소상공인연합회, '2019년도 최저임금 고시' 집행정지 신청"
101,"5~9인 고용 음식점 숙박업, 근로자 평균 임금 줄었다"
102,"경총, 최저임금 이의제기 4일만에 보충의견서 제출"
103,"현대차, 임금협상 타결…8년만에 여름휴가 전 협상 끝내"
104,'최저임금 불복종' 전국 확산… 울산 이어 대구 中企 900곳도 동참
105,"중기중앙회 ""내년 최저임금안 수정해달라"" 노동부에 이의 제기"
106,울산 中企 300곳도 최저임금 불복종
107,소비심리 1년3개월 '최저'...무역분쟁·고용쇼크·최저임금 '악재'
108,"최저임금發 소상공인 반발 달래기…정부, 연 2兆 신용카드 매출 세금 감면 '연장 검토'"
109,“최저임금 차등적용 해야”...'소상공인 생존권 운동연대’ 출범
110,"홍종학 장관 ""중소 제조업 붙잡으려 임금·판로개척 지원"""
111,[뉴스 TALK] 여름휴가 전 임금협상 잠정 합의… 현대차 노조 이번엔 다를까
112,"""최저임금 대란에 중기부는 뭘했나?"" 중기부 1년 '자랑'에 기업인들 비판"
113,김영주 고용부 장관 “자영업자 어려운 건 최저임금 아닌 가맹점·건물주 횡포 때문”
114,고용부 “경영계 내년 최저임금 이의제기 8월 1일까지 답변”
115,최저임금 반발에… '카드 수수료 0%'까지 검토
116,"영세 자영업자 4명중 3명 ""내년 최저임금 감당 어려워"""
117,"경총, 'A4 17장' 사유서 첨부해 최저임금 이의 신청"
118,"경총, 내년 최저임금안 이의제기…""고용부진·인건비 부담 우려"""
119,소잃고 외양간 고치는 정부...쏟아지는 영세자영업자 최저임금 후폭풍 수습책
120,[최저임금 대란]⑩ 무인주문기 설치하고 심야영업 중단...일자리 줄이는 프랜차이즈
121,"최저임금 대책 '일자리 안정자금', 노동자가 거부하는 이유는?"
122,현대차 '작년보다는 소폭' 임금인상 잠정 합의
123,최저임금 인상 반대 '소상공인 생존권 연대' 24일 출범
124,"현대차 노사, 올해 임금협상안 잠정합의…기본급 4만5000원 인상(종합)"
125,"현대차 노사, 올해 임금협상 잠정 합의(1보)"
126,"중기중앙회, 노동부 장관에 '2019년 최저임금' 이의 제기"
127,세금으로 최저임금 후폭풍 돌려막기…근로장려금 100만 자영업자 가구 혜택
128,"최저임금 급등에 걱정 커진 알바들 ""내년엔 잘릴것""""지방은 시급 5000원"""
129,중기중앙회 이어 경총도… 최저임금 재심의 요청
130,최저임금 뛰자… 무인주문기 판매가 2배로 뛰었다
131,"소상공연합회, '최저임금 차등화' 주장...""주무장관·정부 인식 현실과 괴리 커"" 지적"
132,"박용만 ""최저임금 대신 저소득층 소득 높여주는 직접적 분배정책 써야"""
133,"냉면 1만4000원, 김밥 4000원…과도한 최저임금 인상에 음식값도 급등"
134,"중소기업중앙회 ""최저임금 재심의 요청하겠다"""
135,산업부·편의점 6사 간담회…최저임금 인상 불만 청취
136,[하반기 경제정책] 최저임금 뒷수습에 수조원 세금 투입...여전히 모호한 혁신성장
137,[하반기 경제정책] 최저임금 부작용에 눈감은 경제분석
138,"편의점 본사들 ""우리도 죽을 맛… 최저임금 부담 왜 떠넘기나"""
139,"""최저임금 엄살? 생계형 자영업자 만드는 구조가 문제"""
140,"""노동생산성 年 2% 늘 때, 최저임금 8%씩 올랐다"""
141,"캐나다·日 등 12개국, 업종따라 최저임금 달라… 영국 등은 연령별 차등"
142,"[NEWS&VIEW] 최저임금 아우성에… 3조, 또 2조"
143,[실질 최저임금 1만원 시대]  최저임금 도미노… 실업·출산휴직 수당 4조원 더 든다
144,"""최저임금 인상, 자영업자 소득이 아르바이트생한테 이동할 뿐"""
145,"""최저임금 지원책? 홍장관님 보유 상가부터 임대료 내리시죠"" 소상공인들 쓴소리"
146,"최저임금 불똥에 카드업계 속앓이...""이미 깎을만큼 깎았다"""
147,"[최저임금 대란]⑤ 소상공인聯 ""최저임금 8350원 못 받아들여...전국 투쟁 나설것"""
148,"[최저임금 대란]④ 기업에 넘긴 최저임금 부담…""大·中企 갈등으로 몰아"""
149,최저임금 인상에 편의점株 10% 폭락
150,대기업·가맹본부·카드사 때려 '최저임금 고통' 떠넘기기
151,"[팩트 체크] 올해 최저임금 16% 오를때, 전국 임대료 2% 내렸다"
152,"공익위원 전원 정부가 뽑아… 최저임금, 결국 정권 입맛대로"
153,"김동연 ""최저임금 인상, 하반기 경제에 부담"""
154,"""최저임금 1만원 공약 못지키게 돼 사과"" 文대통령, 소상공인 반발은 언급 안해"
155,양대 노총 손에 휘둘린 최저임금
156,"[최저임금 대란]② 조선 협력사 ""배 값 떨어지는데 임금 올리라니, 문 닫으라는 말"""
157,"[최저임금 대란]① 뿔난 편의점주들 ""업종·지역별 최저임금 차등 적용하라"""
158,"김상조 ""소득주도성장, 최저임금 인상만으로 이뤄지는 것 아니야""(종합)"
159,[최저임금 대란]③ “소득주도성장 내세운 최저임금 인상이 소상공인 존폐 위기 내몰아”
160,"김동연 ""최저임금 인상, 하반기 경제 운용에 부담 우려""(종합)"
161,"김상조 ""17일부터 최저임금 인상에 따른 하도급대금 조정 가능"""
162,"김동연 ""최저임금 인상, 하반기 경제 운용에 부담 우려"""
163,"[특징주] 편의점株, 최저임금 인상 타격에 동반 하락중"
164,최저임금 2년간 29% 올려… 사실상 1만원
165,최저임금 밑돌 400만명… '범법자 사업주' 속출할 듯
166,"최저임금 메우려… 정부, 올해처럼 내년도 3조 지원"
167,"""최저임금委는 뒤집힌 운동장… 이런 인상 버틸 소상공인 없어"""
168,"최저임금, 편의점주와 알바생 '乙과 乙 생존게임' 내몰았다"
169,속도 조절? 주휴수당 포함하면 최저임금 1만원…정부 EITC 확대 등 지원책 내놓는다
170,"최저임금 또 10.9% 인상…편의점·제과점 ""핵폭탄급 충격"""
171,"중소기업 ""2019 최저임금, 일자리 빼앗고 양극화 심화시킬 것"""
172,소상공인연합회 “2019년도 최저임금 수용 못해”... 사용주· 근로자 자율합의로 임금 결정할 것
173,2년 연속 두 자릿수 최저임금 인상…근로자 중간 임금 60% 수준 넘었다(종합)
174,내년 최저임금 10.9% 인상…근로자 540.6만명 임금 올려야 (3보)
175,내년 최저임금 10.9% 오른다…시간당 8350원(2보)
176,2019년 최저임금  시간당 8350원…10.9 % 인상
177,내년 최저임금 결정에 사용자위원 불참...14일 처리 '불투명' (종합)
178,내년 최저임금 14일 새벽 결정 '불투명'...사용자측 불참
179,“1000원 카드 결제하면 수수료 100원” 류장수 최저임금위 위원장 발언 '논란'
180,내년 최저임금 14일 새벽에 결론난다...공익위원 이번에도 노동계 편드나
181,"7만 편의점 업계 ""최저임금 인상땐 전국 동시 휴업"""
182,"김동연 ""최저임금 인상이 고용부진에 영향"""
183,"'5인 미만' 소상공인들 ""최저임금 불복 투쟁...직원과 자율협의해 임금 줄 것"""
184,"김동연 ""최저임금 인상, 고용에 영향...신축적 판단해야""(종합)"
185,"성난 편의점주들 ""전국 7만 편의점 동시 휴업 불사""...업종별 최저임금 차등화 요구"
186,"김동연 ""최저임금 인상 등 정책 불확실성으로 일자리 주축인 기업 위축"""
187,"최저임금 6개월, 서민 일자리 月평균 11만개 날아갔다"
188,최저임금 못 맞춰 준 영세업체 적발된 곳 작년보다 44% 늘어
189,"코너 몰린 자영업자 ""최저임금 불복종 투쟁"""
190,최저임금위 사용자위원 “향후 심의 불참하겠다”...‘긴급회의’ 열어 보이콧 선언
191,"정부, EITC 5년만에 대폭 손질한다...최저임금 속도 조절하나"
192,"""5인 미만 소상공인 업종 최저임금 차등화 도입을"""
193,"최저임금 업종별 차등 적용안 부결…""근로자·공익위원 전원 반대한 듯"""
194,"경제6단체, 2년만의 절박한 호소 ""소상공인 최저임금 배려해달라"""
195,"대전협, 전공의노조 활성화…""임금문제 등 보호 기능 수행"""
196,"중소기업계 ""합리적 수준의 최저임금 인상, 사업별 구분 적용"" 필요"
197,[사면초가 재계]② 임금 인상·근로시간 단축…기업환경 ‘악화일로’
198,"중기중앙회 지역회장단 ""최저임금 속도 조절해야"""
199,"노동계 ""내년 최저임금 1만790원으로 하자"""
200,"2019년 최저임금, 勞 “1만790원,  43.3% 인상"" 대 使 “동결“ 주장(종합)"
201,"2019년도 최저임금, 勞 “1만700원” 대 使 “동결“ 맞서"
202,최저임금 오르자 관람료 1000원 올린 CGV...할인행사는 없애
203,[단독] '2020년 1만원' 강행하면 내년에 560만명 최저임금 맞춰 임금 올려야
204,"""최저임금 인상률, 업종별로 차등화해야"""
205,“최저임금 업종별로 인상률 차등 적용해야”...사용자 측 ‘사업별 구분적용’ 주장
206,"車산업 위기라 광주공장 반대한다며… 현대차 노조, 임금인상 요구 파업 채비"
207,"최저임금委, 한국노총 복귀해 정상 운영 개시"
208,"알바 평균 시급, 최저임금보다 높은 8039원…월급은 80만3000원"
209,"""최저임금 인상만으로 소득주도성장 성공 불가…고용 촉진·공공투자 정책패키지 필요"""
210,류장수 최저임금委 위원장 “7월 14일까지 최저임금 결정 마무리” (종합)
211,류장수 최저임금委 위원장 “다음주 한국노총 참여…지금까지 회의 결정 사항 번복없어”
212,"한국노총, 최저임금委 복귀…최저임금법 재개정 조건"
213,"휴켐스, 12년 연속 무분규 임금협상 타결 성공"
214,류장수 최저임금委 위원장 “노동계 복귀 믿고 있다”
215,"농촌 외국인 노동자 ""임금 안올려주면 옮기겠다"""
216,"""노동계, 최저임금委 조속 복귀하라"""
217,"[2018 중소기업 포럼] 중소기업계 ""노동계, 최저임금위원회 조속히 복귀해야"""
218,"현대차 임금 협상 결렬, 노조 또 파업 준비"
219,"OECD ""한국 최저임금 인상 속도 유례 없는 수준"""
220,"현대차 노사, 12차 임금협상 결렬…노조는 파업 준비절차 착수"
221,"OECD ""韓, 기준금리 인상 필요…최저임금 인상폭 신중히 결정해야"""
222,근로시간 감소폭 59개월 '최대'...'과도한 최저임금 인상에 취약계층 직격탄'
223,"""국민 일자리 우려에 공감해야 한다""…최저임금 인상속도 조절될까"
224,"최저임금 인상 후 알바생 “시급 올랐지만, 일자리 줄어”"
225,"中企, 최저임금 인상분 대기업에 받아라?…실효성 있을까"
226,"문성현 “노사정위서 최저임금 재논의하자”…靑, 민주당 우회 시도하나"
227,"손경식 ""워라밸문화‧직무중심 임금체계 확산돼야 """
228,"김동연 ""'분배 문제' 여러 통계 자료 검토 후 보완 대책 마련""…최저임금 속도 조절도 ""검토 후 판단"""
229,[김기천 칼럼] '고슴도치 정부'의 최저임금 억지
230,"KDI ""최저임금 1만원 땐, 일자리 32만개 감소"""
231,' KDI 보고서' 최저임금 속도조절론 힘얻나
232,'올해 최저임금 영향은 크지 않다'는 KDI…‘1~4인 영세사업체'는 빠졌다
233,"KDI ""최저임금 1만원 공약 속도 조절해야…내년·내후년 15% 인상시 일자리 24만개 감소"""
234,"""최저임금 긍정 효과 90%"" 미스터리…靑 설명대로 계산해도 그런 통계는 없어"
235,최저임금 속도조절론 차단한 대통령…내년도 대폭 오르나
236,"김동연, 대통령 앞에서 작심 발언 ""최저임금 올라 일자리 충격… 상식 있으면 인정해야"""
237,"현대중공업 노조, 통상임금 집단소송 패소"
238,"고용부 ""최저임금 산입범위 확대로 저임금노동자 21만6000명 기대이익 감소"""
239,"김동연 ""분배 악화 안타깝다, 최저임금 때문인지는 분석해 봐야"""
240,"정부, 국가 간접 고용한 '청소·경비 근로자' 최저임금 인상분 지원"
241,"현대차 노조, 2시간 부분파업…최저임금법 개정안에 반발"
242,"경제계 ""최저임금 산입확대 아쉬워…노조 동의 필요해 사실상 불가능"""
243,최저임금에 정기상여·숙식비 상징적 편입…실속은 노동계가 챙겼다
244,"저소득층 위해 올린 최저임금, 되레 저소득층 울렸다"
245,'소득주도성장의 역설' 1분기 빈부격차 최악...'최저임금+노인빈곤'
246,"이주열 총재 “고용 부진, 최저임금 인상과 일부 업종 구조조정 영향 혼재된 결과”"
247,[특징주] 김동연 '최저임금 속도조절' 발언에 편의점주 상승세
248,"위메프, 포괄임금제 폐지… 주 40시간 초과땐 수당"
249,"경총 하루만에 입장번복… ""최저임금 산입범위 국회서 논의해야"""
250,"김동연 ""최저임금 1만원 목표 연도, 시장 수용성 고려해 신축적으로 해야""(종합)"
251,"위메프, 포괄임금제 폐지... 기존 급여 유지하고 초과수당 별도 지급"
252,"김동연 ""최저임금 인상 목표 연도, 영향 고려해 신축적으로"""
253,"경총 ""최저임금 산입범위 개정안, 양극화 심화 초래"""
254,"""기업하기 좋은 환경 만들어라, 그러면 스스로 임금 올릴 것"""
255,경제컨트롤타워 '최저임금영향·경기인식 오락가락' 논란
256,親文 성향 위원장·진보일색 최저임금委 …내년도 최저임금 가파른 인상?
257,"김동연 ""최저임금 고용에 미친 영향, 청와대 생각과 다르지 않아"""
258,"'이제서야' 김동연 ""최저임금 고용에 영향줬을 것으로 생각"""
259,"3월 실업률 4.5%… 17년 만에 최악의 기록, 장하성 ""최저임금 인상, 고용감소 효과 없어"""
260,"최정표 KDI 원장 ""최저임금 인상, 근로시간 단축 부작용 일시적"""
261,"하도급 업체, 납품단가에 최저임금 인상분 반영 요구 가능해져...7월부터 법적 보장"
262,"8년째 임금 동결 현대상선, 올해 성과급 지급"
263,"""최저임금 인상 논의하려면 상여금·숙식비 포함이 먼저"""
264,"재정으로 최저임금 부작용 보완?…""일자리안정자금, 文정부 최악정책"""
265,"""산업구조 개혁""·""최저임금, EITC 연계""…한국경제학회서 'J노믹스' 전환 요구"
266,"김동연 ""'최저임금 1만원' 달성, 노동시장 불확실성 조기 해소 필요"""
267,"중소기업 두 곳 중 한 곳 ""내년 최저임금 동결해야"""
268,"中企 73.9% ""최저임금 직격탄"""
269,"석유공사, 임금 반납·기업회생TF 구성…고강도 혁신나서"
270,"최저임금·법인세 인상… 한국 제조업 경쟁력 갈수록 약화, 中·日 등 경쟁국은 4차 산업혁명 맞춰 '제조업 업그레이드'"
271,"경방, 최저임금 인상에 설비 일부 결국 베트남으로"
272,"한은 ""올해 명목임금 상승률 3%중후반…지난해 2.3%보다 확대"""
273,GDP에도 최저임금 인상 그늘...반도체 쏠림·정부 의존도 지나치다
274,"우리은행, 올해 3차례 희망퇴직…고임금 인력 구조조정"
275,"최저임금委 위원 인선 제때 못하고 ‘표류’...""공익위원 인선 지연"""
276,"샤넬코리아, 노사 임금협상 최종 타결"
277,"[최저임금쇼크]⑭ 짐싸는 편의점 영업직원 ""폐점 빗발치는데, 인사 불이익"""
278,"""고용쇼크, 최저임금 탓 아니다"" 김동연 발언에 비판 봇물"
279,"김동연 ""고용쇼크, 최저임금 인상 영향으로 보기 어려워"""
280,"최저임금 인상, 여성·40세이상 저숙련 근로자 실직 위험 커...미국 사례 분석"
281,"""임금보다 일터 지키자""… 車생산성 세계 1위 오른 스페인 공장"
282,금융노조 “9년간 동결‧삭감됐던 금융공기업 임금 올려야”
283,어디까지 최저임금? 또 충돌
284,최저임금 후폭풍 '고용쇼크'...두달 연속 취업자 증가수 10만명대 '최악'(재종합)
285,"""대기업·中企 임금 격차, 외환위기 이전으로 돌려야"""
286,"""임금 제대로 주고, 일은 주 52시간만 한다는데…"" 건설업계 노무관리 '비상'"
287,"김상조 만난 삼성 현대차 등 대기업 ""협력업체 최저임금 인상 부담 지원"""
288,"STX조선 노사, 확약서 9일까지 제출할듯...""소속 전환 직원 3년 고용보장·임금 80%"""
289,2019년 최저임금 올해만큼 오를까...산입범위 개편·공익위원 위촉 '촉각'
290,"한경연 ""대기업 70%, 최저임금 인상이 전체 임금에 영향"""
291,1월 근로시간 임시·일용직만 감소…최저임금 대폭 인상 영향
292,"""최저임금 16.4% 오르면 일자리 47만개 줄어""...파이터치연구원, 연구결과 발표"
293,女 안정성·男 임금상승…일자리 선호 차이가 남녀 임금 격차에 영향
294,"""CJ대한통운, 예상보다 큰 최저임금 인상에 목표주가 하향"" - 유진"
295,[팀장칼럼] 최저임금인상·근로시간 단축의 그림자
296,"[단독] 뚜레쥬르, 1500명 제빵기사 임금 16.3% 인상 합의"
297,"최저임금 인상에 잘 나가는 '이마트24'...점주 90% ""심야영업 안해”"
298,"이일형 금통위원 ""생산성 개선 없는 임금 인상, 수출·내수에 부정적"""
299,한국GM 노조 '겉과속' 다른 요구…임금동결하면서 정년은 늘려달라
300,임금 인상률은 물가 오른만큼
301,"한국GM 노조, 임금 인상·성과급 안받겠다...정상화 탄력"
302,"SK이노베이션 노사, 올해 임금인상률 1.9% 합의…작년 소비자물가와 연동"
303,[청년 일자리 대책] 3년 특단의 임금지원…일자리 근본대책은 없어
304,'최저임금 인상 후폭풍' 2월 고용쇼크...힘실리는 일자리 추경
305,'고용쇼크' 2월 취업자 증가폭 8년 최저…최저임금 인상 여파(종합)
306,[최저임금쇼크]⑬ '라면' 빼고 다 올랐다...국정 혼란 틈타 기습인상
307,"""하위 95% 기업 생산성 정체가 임금 격차 키워"""
308,"경총 ""정부·정치권, 최저임금 산입범위 확대 검토해달라"""
309,'최저임금 산입범위' 합의 실패… 정부·국회 나서나 (종합)
310,"최저임금委, 산입범위 개편 합의안 도출 실패…정부·국회 나서나"
311,"""한시적 임금보전, 일자리 미스매치 해결 못해""…KDI, 재정투입식 청년실업대책 '비판'"
312,이성기 고용부 차관 “포괄임금제 근로시간 단축 지침 곧 발표”
313,채소·빵·김밥·햄버거값 줄줄이 상승…최저임금·한파發 물가 들썩(재종합)
314,[최저임금쇼크]⑫ “접시는 손님이 직접 치워주세요” 셀프서비스 늘어나는 외식업계
315,"""한파·최저임금 인상 영향""…2월 소비자물가, 전월보다 0.8% 상승 '13개월 최고치'(종합)"
316,[투자노트] 경기 좋은 것 맞나요? 美 임금 상승도 고소득자 때문이라는데
317,"고용노동부, '장애인 최저임금 적용제외 제도 개편 TF' 출범"
318,"""업무 집중도 높이기위해""… PC 셧다운제 등 '임금 하락 없는 근로시간 단축' 한 달째"
319,’재계 파이터’ 경총의 親정부화...2019년 최저임금 인상폭 커지나
320,"[단독] 정부, 中企 취업 청년에 임금 보전 검토…""고용주 아니라 취업자 직접 지원"""
321,"보험硏 ""최저임금 인상으로 車보험료 인상 압력 커져"""
322,"[김홍진의 스마트경영] 최저임금 정책, 계속 밀어붙이기만 할 건가"
323,"최저임금 도미노, 뿌리산업이 휘청거린다"
324,최저임금委 정상화…어수봉 위원장 사퇴않기로
325,"IMF ""한국 최저임금 더 올리면 고용에 악영향"""
326,"IMF ""韓 최저임금, 선진국 수준…추가 인상 신중해야"""
327,"현대중공업, 임금‧단체협상 타결로 울산지역 사업장 생산재개"
328,1월 실업급여 신규신청자 급증 왜?…최저임금 vs 복합요인
329,"저임금 노동력 쫓던 韓 해외투자, 금융·부동산 자산으로 이동"
330,1월 실업급여 신청 역대 최대…최저임금 후폭풍 시작됐나
331,"현대重, 2년 연속 흑자…노사 2년치 임금협상도 타결"
332,"국민 10명 중 4명, 최저임금 인상 韓 경제에 부정적"
333,"[최저임금쇼크]⑪ 편의점, 협력업체 지급금 3년째 동결...공정위 ‘임금상승 분담’ 요청 안 들어"
334,"""최저임금 너무 올리면 오히려 일자리 줄어"""
335,"중기·소상공인에 30조원 자금 풀린다....설 지원금 27조원, 최저 임금 부담 완화 2조2000억원"
336,"노동계, 어수봉 최저임금위원장 사퇴 요구 사실상 철회"
337,[단독] 최저임금 여파…파리바게뜨 빵 가격 최대 18% 올려
338,"[최저임금쇼크]⑩ ""해고됐는데 알바 공고도 없어요"" 편의점·커피숍 구인공고 14% 감소"
339,[최저임금쇼크]⑨ '최저임금發 정책 충돌'…근로시간 줄이라더니 초과 근무 稅혜택 늘리겠다는 정부
340,"원·달러 환율, 1088.5원으로 두 달 만에 최고…美 경제 '마지막 고리' 임금 인상 완성"
341,"[최저임금 쇼크]⑧ 일자리안정자금 신청 '복병' 3월 보수총액 신고...""2월도 지지부진할듯"""
342,노동계에 끌려가는 최저임금 개편...상여금 등 산입범위 포함 무산되나
