,제목
118,"KDI ""최저임금 1만원 공약 속도 조절해야…내년·내후년 15% 인상시 일자리 24만개 감소"""
119,현대차 노조 “광주형 일자리 투자 반대…총력투쟁 나설 것”
120,"김동연, 대통령 앞에서 작심 발언 ""최저임금 올라 일자리 충격… 상식 있으면 인정해야"""
121,내년 예산증가율 7% 가량일 듯…고령화 대응·일자리 위해 재정 확대 예고
122,"[Tech & BIZ] ""수십년간 인간의 삶 바꿔놓은 컴퓨터, 인간 일자리 대체하는 등 더 강력해질 것"""
123,"파격 채용 나선 바디프랜드, 성장이 일자리로 연결됐다"
124,"""청년 일자리 5년간 12만개 만들겠다"""
125,"""4차 산업혁명으로 2030년까지 80만개 지능정보 일자리 창출"""
126,"로봇 때문에 내가 해고된다고? 이상하다, 로봇 덕분에 일자리가 늘어난다"
127,로봇은 일자리 파괴자인가 아니면 일자리 메이커인가
128,[세계를 보는 창 Now] 로봇 늘었는데 일자리도 늘었다
129,"근로시간 줄이면 일자리 늘어난다?… 中企 85% ""사람 더 안뽑아"""
130,"이주열 총재 “일자리 창출 목적 추경, 통화정책에 영향 주지 않을 것”"
131,"인천공항 6만개 일자리, 취업포털서 한눈에 볼 수 있어"
132,"정부 ""소셜 벤처 등 육성… 2022년까지 새 일자리 11만개 만들 것"""
133,3개월째 말라붙은 일자리
134,"중기부 ""소셜벤처 활성화로 일자리 2500개 창출"""
135,"국토부, 2022년까지 창업공간 4700개, 양질의 일자리 9만6000개 창출"
136,"5년간 도시별 제조업 '흥망성쇠' 청년 일자리 직결…""서울·대구·부산 실업률 ↑, 대전 ↓"""
137,"[뉴스 TALK] 아직 한국선 일자리가 복지인데… 금융위원장 ""희망퇴직 권장"""
138,"재정으로 최저임금 부작용 보완?…""일자리안정자금, 文정부 최악정책"""
139,"경총-산업인력공단, '일자리 창출 활성화' 업무협약"
140,"""남북경제통합시 5년간 일자리 12만개 창출"""
141,"""실버 택배로 노인 일자리 해결"""
142,"홍종학 장관 ""청년 일자리 만드는 데 총력"""
143,"""애플·다이슨 같은 기업처럼 디자인이 좋은 일자리 만든다"""
144,"롯데그룹, 산업인력공단과 일자리 창출 MOU"
145,"한경연 ""서비스업 해외유출 급증...국내 일자리 손실"""
146,"[기자수첩] ""근거 못 밝혀"" 유령 숫자 가득한 일자리 정책"
147,"3200억원 규모 일자리펀드… 은행연합회, 올해 조성키로"
148,"은행권, 사회공헌사업에 총 7000억 투자…일자리 창출·창업 지원 등 목표"
149,"버너 보겔스 아마존 CTO ""AI가 일자리 뺏는게 아니라 새 일자리 만들 것"""
150,일자리 창출·깨끗한 에너지 제공… 공공기관 혁신 평가서 1위
151,新중년 호텔리어 양성 등 관광 일자리 만드는데 적극 나서
152,일학습병행·해외취업지원 등 국민 일자리 만드는 데 노력
153,"잡코리아 ""정규직 일자리 10건중 1건이 강남구"""
154,"서울시, 마곡에 10만 일자리 '강소기업 R&D 융복합 혁신거점' 구축"
155,"10만명 일자리 찾아준 잡월드, 마지막 채용박람회"
156,"한국GM 노사, 데드라인 사흘 앞두고 대립만…‘15만 일자리 붕괴’ 현실화되나"
157,"GM ""이대로면 20일 법정관리"" 15만 일자리 걸고 벼랑끝 전술"
158,'일자리 쇼크' 영향으로 1분기 실업급여 수급자 수 역대 최대
159,'일자리 정부'가 날려버린 서민 일자리 12만개
160,10萬 일자리 만든다며 11兆 풀었는데… 7만여개뿐
161,돈 퍼부었는데… 일자리는 '비명'
162,"문재도 무보 사장 ""수출 중소기업 현금화 도와 투자·일자리 창출 돕겠다"""
163,"""기업 규제 완화와 추경집행이 답""....중기업계, ‘청년 일자리 대책’위한 다양한 의견 제시"
164,"""규제 풀었더니 일자리 두 배로 늘더라"""
165,한경연 “규제 완화가 일자리 창출로 직결…5개 업종 20~130% 증가”
166,"연봉 2500만원 일자리 만들기, 세금 1억3360만원 쓴다"
167,"[일문일답] 김동연 ""청년일자리, 추경·세제지원·금융 모든 수단 총동원"""
168,일자리 추경 3.9조 '현금 투입 80%'...한시대책 실효성 논란
169,LH 건설환경 개선·일자리 창출 토론회 개최
170,[투자노트] '기술주=일자리 파괴자'라는 인식
171,"이목희 신임 일자리위원회 부위원장, 노동운동 거친 재선의원 출신"
172,"코스닥협회, 과학기술일자리진흥원과 기술성장지원 MOU"
173,"정부, 광물공사·광해공단 통합 확정…노조 ""일자리 뺏지마라"" 강력 반대"
174,[2018 사회공헌대상/도로교통공단] '내손주지킴이' 사업 통한 신중년 일자리 창출 선도
175,[팀장칼럼] ‘세금 일자리’ 언제까지 유지될까
176,리턴맘 바리스타 제도로 '경단녀' 일자리 복귀 돕는다
177,특단의 대책이라더니… 청년 일자리 추경 '반토막'
178,"""최저임금 16.4% 오르면 일자리 47만개 줄어""...파이터치연구원, 연구결과 발표"
179,女 안정성·男 임금상승…일자리 선호 차이가 남녀 임금 격차에 영향
180,"""5000억 들여, 10만개 일자리 5년 유지하면… 나쁜 장사 아니다"""
181,"""中企 일자리 거들떠도 안 보니… 어쩔 수 없이 자동화합니다"""
182,"스타트업은 구인난, 청년은 취업난… '인재매칭'으로 맞춤 일자리 지원"
183,정부가 권한 '中企 빈 일자리' 절반이 서빙·기사·점원
184,"문재인 정부 ‘보조금 투하’ 일자리 정책, 성공 어려운 네 가지 이유"
185,"김동연 ""청년 일자리 문제, 구조개혁 필요하지만 당장 급한 불부터 꺼야"""
186,"[단독] 작년 호실적 올린 한국은행, 일자리 추경에 6000억원 기여"
187,[청년 일자리 대책] 4조원 '미니 추경'...4월 국회 통과 목표(종합)
188,"중기중앙회 “정부 일자리 대책, 청년과 기업 사이 균형 잡아…적극 협력”"
189,산업지형·노동·일자리 대변혁 시대… 정부 'I-Korea 4.0' 정책 핵심 브랜드로 추진
190,"한경연 ""청년 일자리 대책, 적절하지만 근본 처방은 아냐"""
191,[청년 일자리 대책] 지역 경제·해외 취업·신산업 '일자리 활로 확대'
192,[청년 일자리 대책] 중견·중소기업 취업하면 3년간 연 1000만원 지원 받는다
193,[청년 일자리 대책] 中企 취직-창업 청년 5년간 세금 면제
194,[청년 일자리 대책] 소득보전으로 대-중소기업 초임 격차 줄인다...연간 1000만원 지원
195,[청년 일자리 대책] 3년 특단의 임금지원…일자리 근본대책은 없어
196,"[청년 일자리 대책] '일자리 추경' 공식화…""속전속결로 4월 중 처리"""
197,"이주열 한은 총재 ""양질의 일자리 창출, 우리 경제 최우선 과제"""
198,[Tech & BIZ] '알파고 쇼크' 2년… AI로 삶은 편해졌지만 일자리 불안은 커져
199,"최태원 ""3년간 80兆 투자… 일자리 2만8000개 만들겠다"""
200,"SK, 3년간 80조원 투자·일자리 2만8000개 창출 약속…김동연-최태원 3시간의 만남(종합)"
201,'최저임금 인상 후폭풍' 2월 고용쇼크...힘실리는 일자리 추경
202,"최태원 만난 김동연 부총리 ""일자리 창출 신경써달라"""
203,"[투자노트] 트럼프가 두렵다면, 美 '일자리지수'로 헤지하자"
204,세계 최초로 軍·민간용 헬기 동시 개발… 일자리 창출에도 기여
205,"김동연 ""일자리 대책에 근로시간 단축·구조조정에 따른 지역 경제 보완책 포함"""
206,"정부 ""금호타이어 일자리 유지 위해선 해외 매각 불가피"""
207,"손경식 경총 회장, 대통령 주재 일자리위원회 참석"
208,[군산르포] 일자리 사라진 군산...텅 빈 조선소·GM공장 주변은 '유령도시'
209,"산업부 ""4년 연속 외국인 투자 200억불 이상 유치…1만개 일자리 만들 것"""
210,'여기어때' 200명… 일자리 쏟아내는 스타트업들
211,"김동연 ""청년 일자리 문제 해결 위한 추경 편성·세제 개편 배제 안해"""
212,4차 산업혁명으로 보건·복지 일자리 59만개 늘어나
213,"[일문일답] 정부 ""통영·군산 지역 일자리 추경 배제하지 않아"""
214,정부 15일 특단의 청년 일자리 대책 발표‥추경 여부·청년 직접 지원금 '관심'
215,"청년일자리 추경, 예상보다 적은 5조 안팎"
216,"""한시적 임금보전, 일자리 미스매치 해결 못해""…KDI, 재정투입식 청년실업대책 '비판'"
217,벤처 지원사업 참여 기업 일자리 49% 늘어…매출 29% 증가
218,김동연 “청년 일자리 직접 보조금 투입 검토”
219,"정부, 일자리안정자금 신청에 세무사 노무사 동원...대행 수수료 등 인센티브 강화"
220,일자리 안정자금 2월 28일 하루 10만명 신청…신청율 40% 넘어
221,"김동연 “청년 일자리, 저출산 특단 대책 상반기에 낼 것”"
222,美 철강규제에 현지 석유업계 반발…“관세 부과하면 일자리 감소”
223,나무 심기 5000만 그루 넘어서… 시니어 일자리 창출 앞장
224,"김동연 ""軍 통한 청년 일자리도 준비중이다"""
225,귀산촌 창업·산림복지 전문업 등 일자리 만들기 적극 동참
226,연일 청년일자리 추경 언급하는 정부…효과와 당위성 놓고 논란
227,"김동연 “GM, 대주주 책임 등 정부 3대 원칙에 공감…일자리 추경 배제 안해""(재종합)"
228,"지난해 수출로 생긴 일자리 447만개...""사상최대"""
229,"""빚 갚고 일자리 얻고… '캠코'가 도와드려요"""
230,"일자리 만든다던 협동조합, 절반은 문 닫았다"
231,"전경련 ""신동빈 법정구속 몹시 안타까워...투자와 일자리 창출 우려"""
232,"전경련, 일자리 창출 등 5대 핵심사업 발표...명칭변경은 잠정유보"
233,[한국GM 철수위기]④ 경영실패에 혈세지원? 30만개 일자리 사수?...정부의 딜레마
234,무협 “4차 산업혁명 관련 8대 신산업으로 일자리 41만5000개 생겨”
235,"""최저임금 너무 올리면 오히려 일자리 줄어"""
236,[뉴스 TALK] 일자리 안정자금 신청 늘리려… 이중·삼중 혜택 내놓는 중기부
237,"박병원 ""일자리 창출에 '국가 총동원체제' 가동해야"""
238,"일자리 안정자금, 월급 210만원 받는 근로자까지 지원"
239,"한경연 ""유통규제 강화하면 1년에 일자리 3만5000개 사라져"""
240,서비스업 초과 근무자 약 140만명 세금 감면…5만명 일자리안정자금 신청 가능해져(종합)
241,"서비스업 일자리안정자금 신청 기준 월급여 190→210만원 완화…""약 5만명 대상"""
242,"""글로벌 경영·일자리 확대, 과감하게 추진하길"""
243,"경총 ""이재용 부회장 집유 환영...투자· 일자리 창출에 매진해주길"""
244,"[최저임금 쇼크]⑧ 일자리안정자금 신청 '복병' 3월 보수총액 신고...""2월도 지지부진할듯"""
245,"소상공인 46%가 ""일자리 안정 자금 신청할 생각 없다"""
246,이마트 '일자리 효자'
247,벌써 2월 됐지만…일자리 안정자금 신청자 8만명 불과
248,작년 금융업 일자리 1만4000개 감소…카드모집인 보험설계사 70% 차지
249,"[팩트 체크] 일자리안정자금 과세, 사실은"
250,"LH, 지난해 26만5000개 일자리 창출… 정규직 비율 79.8%로 올려"
251,[독자 리포트] 일자리 안정자금 받으면 내년에 세금 내야[정정내용 있음]
252,"""일자리 안정자금 홍보 안돼 신청 적어? 정부가 맥 잘못짚어"""
253,여의도 면적의 '정부 땅' 혁신성장과 일자리 창출에 활용
254,"""규제 폭탄에 예산마저 줄고""…건설업 침체 일자리 충격 우려"
255,"김영주 고용부 장관, 일자리 안정자금 지원 '버스 홍보' 나서"
256,"文 ""청년 일자리 부진"" 질타 3일 만에…김동연 '대책 본부' 만들기로"
257,"울산공장 떠나는 윤갑한 현대차 사장 “노조, 일자리 지키려면 현실 직시해라”"
258,"대통령 일자리 질책에 공공부문 확대? ""서비스업 등 과감한 규제완화부터 해야"""
259,"""기업규제, 독일 수준으로 개선되면 일자리 22.1만개 창출"""
260,"LH, 올해 15.8조원 투입…일자리 창출·공공주택 공급 집중"
261,"""일자리 안정자금 지원 정책 긍정적이지만 미흡한 점도""...대기업 2~3차 협력사 지적"
262,[빅데이터로 본 트렌드] '욜로'에서 '짠테크'로 트렌드 변화… '최저임금' '일자리'도 화두
263,사업주 반기지 않고 재정 부담 늘어나는데…정부 일자리안정자금 내년까지 연장
264,"고용노동부 “일자리 안정자금, 2019년에도 계속 지원 계획”"
265,"중소기업 관련 업계 ""정부 일자리 안정자금 지원 연장 환영"""
266,"김동연 ""일자리안정자금 한해 지원하고 중단할 수 없어"""
267,"박병원 ""일자리 창출에 국가 총동원령을"", 우원식 ""최저임금 올려 내수부터 살려야"""
268,"현대차, 자율주행차·인공지능 등 5대 신사업 23조원 투자...일자리 4만5000명 고용"
269,'일자리 붕괴 역설'...영세상인 늘면서 현대·기아 1톤트럭 판매 급증
270,'일자리 붕괴 역설'...영세상인 늘면서 현대·기아 1톤트럭 판매 급증
271,기재부 “일자리 창출 실적 미흡…경제 회복세는 지속”
272,[김홍진의 스마트경영] 한계 드러내고 있는 정부 일자리 정책
273,"홍종학 중기부 장관, 현장 찾아 ‘일자리 안정자금' 홍보’"
274,"복지부 ""2022년까지 건강수명 3년 늘리고 일자리 10만개 창출"""
275,"대통령 회견, 경제계 “일자리 창출 공감…규제개혁 환경 필요”"
276,경총 “일자리 방향성 공감…규제완화 언급 없어 아쉬워”
277,[김기천 칼럼] 최저임금과 청년 일자리 정책
278,"서울시 ""서울역 일대 등 도시재생 3곳에서 8만여명 일자리 유발 효과"""
279,"세계 각국 법인세 인하 경쟁하는데… 한국, 일자리 재원 위해 '역주행'"
280,"""한·중 FTA 서비스·투자 개방, 일자리 창출에 도움될 것""…후속 협상 공청회(종합)"
281,"""SOC 예산 축소, 일자리 4만3000개 증발"""
282,"기재부 보유세 개편, 일자리안정자금 연착륙 방안 등 끝장토론"
283,"김흥빈 소상공인진흥공단 이사장, 혁신형 일자리 창출 비전 선포식"
284,"AI·로봇이 블루칼라業 급속 대체… ""美 일자리 38% 사라질 수도"""
285,"김동연 ""일자리 안정자금 올해 최우선 정책 삼아 성공시킬 것"""
286,"[2018 신년사] 이경하 JW중외제약 회장 ""우수의약품 개발 및 양질의 일자리 창출할 것"""
287,여야정 합의한 ‘광주형 일자리’ 돌파구 열릴까?
288,470조 예산 ‘밀당’ 시작…일자리·남북경협 최대쟁점
289,‘일자리 질’ 강조했는데 비정규직 비중 늘고 임금격차 커졌다
290,도시재생과 일자리 창출의 순환고리 만든다
291,"3~6개월짜리 일자리 5만9천개, 고용쇼크에 ‘응급처방’"
292,유류세 6개월간 15% 한시적 인하…공공일자리도 5만9천개 만든다
293,‘플랫폼 일자리’ 쏟아지는데…‘노동자 안전망’ 어찌하나요
294,"정부, 고용부진 개선없자 “공공기관, 단기 일자리 만들라”"
295,"신산업 일자리 창출 방안, 시장 반응은 ‘미지근’"
296,“일자리 창출 많은 기업에 대출보증도 더 준다”
297,일자리 쇼크에 신산업 필두 ‘혁신성장 산업정책’ 부활
298,SK하이닉스 낸드공장 준공 때 정부 일자리위원회도 연다
299,상황 파악 잘 안되는 ‘일자리 상황판’
300,“일자리 패러다임의 변화 이끌어내야 대안될 수 있어”
301,"문재인 정부 일자리 정책, 30대 “긍정” 50대 “부정” 갈려"
302,일자리 창출 효과 큰 벤처기업 전용 펀드 등장
303,서비스업 일자리마저 ‘감소’로 돌아섰다
304,"“소득성장, 중소기업·일자리 중심으로 3년 짤것”"
305,청년장병 2명 중 1명은 ‘제대 후 일자리’를 찾는다
306,인터넷전문은행 일자리 창출 효과는?
307,노인·여성 등 취업 취약층 일자리 90만개 늘린다
308,금융위기 수준으로 재정확대…일자리·복지에 ‘올인’
309,내년 일자리안정자금 1500억 줄어도 대상은 확대
310,김동연 “일자리 예산 역대 최고치 확장…기초연금 인상 앞당겨”
311,"45~49살 일자리, 제조업 생산직 4만6천개 사라졌다"
312,“상반기 초과세수 19조…공공 일자리 창출 2차 추경해야”
313,"김동연 “내년 예산안, 일자리 창출에 초점”"
314,"한화도 투자계획 발표…5년간 22조원, 일자리 3만5천개"
315,삼성 ‘3년간 180조 투자’가 창출할 일자리는 얼마나 될까
316,김동연 “일자리 위해 내년 SOC예산 추가 감축 재검토”
317,"‘일자리 안정자금’ 3조원, 유지냐 축소냐"
318,‘일자리안정자금’ 계속 지원…‘근로장려금’ 확대
319,“근로시간 단축으로 2020년까지 일자리 33만개 감소”
320,"김동연 “일자리안정자금 지원규모, 내년 최저임금 인상률 보고 결정”"
321,공공 일자리 늘려 급한 불 끄기…빈곤층 구직자 수당 지원 검토
322,일자리 못 구한 대졸 40만명 돌파…실업자 3명 중 1명
323,청년일자리 세제혜택 29살→34살로 확대
324,"꽉 막힌 일자리…‘그냥 쉰다’ 200만명 육박, 역대 최대"
325,노인일자리 확대 등…소득 줄어든 취약층 맞춤형 대응책 짠다
326,광주형 일자리 사업에도 ‘집합적 임팩트’ 성공 ‘방정식’이
327,"청년, 사회적기업 등 일자리 위한 ‘희망상가’ 공급된다"
328,현대차 참여 ‘광주형 일자리 모델’ 시동…성공할 수 있을까
329,국가유공 중소기업인들 “‘건강한 청년 일자리’ 만들겠다”
330,2022년까지 5대 신산업 160조원 투자…일자리 20만개 창출
331,"문재인 정부 1년, 일자리 쏟아부었지만 지표는 제자리"
332,일자리 추경 지연… 청년 목돈 지원책 ‘빨간불’
333,"현대차그룹, 5년간 사회적 일자리 3천개 만든다"
334,김현미 장관 “스마트시티 등 신산업 육성으로 일자리 창출 총력”
335,일자리 나누고 희망도 나누고
336,"한국교통안전공단, 비정규직 없애고 좋은 일자리 늘린다"
337,스마트공항에 주력…5년간 청년 일자리 5만 개 창출
338,올해 화두는 일자리…양과 질 두 마리 토끼 모두 잡는다
339,문재도 무보 사장 “중기 수출 도와 5만개 일자리 창출”
340,"김동연 “중소기업, 청년일자리 창출에 적극 나서달라”"
341,추경 더해 ‘청년일자리용 지방교부세 정산금’ 3조원 교부
342,‘지역 살리기’ 공감대 높지만 ‘청년 일자리’ 실효성 공방 예상
343,국회로 가는 3조9천억 추경안…“청년일자리·구조조정 대책”
344,권평오 KOTRA 사장 “해외시장 진출지원 때 일자리 효과 최우선”
345,청년 일자리·저출산 사업에 내년 나랏돈 더 푼다
346,내년 청년일자리·저출산해소 위해 나랏돈 더 푼다
347,중기 청년일자리 20만개? 통계의 함정
348,아세안 진출 한국기업 ‘1기업 1청년 일자리’ 협약
349,이동걸 산은 회장 “한국지엠 지원 ‘일자리 유지’ 가성비에 달렸다”
350,"“가장 오래 살 세대, 일자리는 가장 불안” 딜레마"
351,"“욕받이, 지옥” 청년일자리 대책 만든 또래 사무관들 ‘뒷땀화’"
352,4조원 안팎 청년일자리 추경…국회 통과 험난 예고
353,28살 취준생에 어떤 혜택?… Q&A로 본 청년일자리 대책
354,"반짝 단기책 넘어, ‘양질의 일자리 늘리기’ 정공법 나올까"
355,스마트공장 구축 지원해 5년간 일자리 7천개 만들었다
356,김동연 “청년 일자리 추경 배제 안해”
357,‘청년 일자리박람회’ 부산·광주·서울 릴레이로 열려
358,"GM, 일자리 볼모로 ‘세금 먹튀’…여러 나라가 당했다"
359,"조선소 문닫은 전북, 일자리 2만개 사라져"
360,“나더러 일자리 만들려고 빵 굽는 이상주의자래요”
