,단어명,조선일보,한겨레,세계일보,총빈도수
2061,해산,3,8,7,18
1678,고기,6,4,8,18
2072,총파업,3,8,7,18
2076,황당,3,5,10,18
2078,상반기,3,3,12,18
2372,불안감,1,2,15,18
1266,대학병원,9,2,7,18
1907,한밤중,4,1,13,18
2043,전액,3,5,10,18
1827,유전자,5,2,11,18
2101,순천,3,7,8,18
2102,트라우마,3,6,9,18
2114,존중,3,7,8,18
2109,배경,3,3,12,18
2339,조형,1,6,11,18
1925,노숙인,4,4,10,18
1919,반려,4,3,11,18
1866,임용,4,3,11,18
2236,불감증,2,3,13,18
2305,하락,1,5,12,18
1354,지능,8,3,7,18
1353,워크숍,8,4,6,18
2344,취객,1,1,16,18
1676,먹이,6,2,10,18
2149,양주,3,3,12,18
1596,태아,7,2,9,18
1944,비만,4,7,7,18
1614,조선족,6,2,10,18
1945,대학원,4,4,10,18
2353,행방,1,6,11,18
2385,고공,1,9,8,18
1743,진심,5,5,8,18
1789,방식,5,8,5,18
1761,열정,5,2,11,18
1777,무관,5,2,11,18
2013,익사,3,3,12,18
2007,백신,3,4,11,18
1980,분통,4,2,12,18
1745,소문,5,2,11,18
1975,가맹,4,5,9,18
1801,금연,5,7,6,18
2315,장소,1,6,10,17
2210,로부터,2,3,12,17
2190,재발,2,7,8,17
1662,조항,6,7,4,17
1876,착용,4,3,10,17
1989,평등,4,8,5,17
1535,금감원,7,3,7,17
1804,화이트리스트,5,5,7,17
1620,다수,6,3,8,17
2228,재수,2,2,13,17
2226,폭발물,2,2,13,17
1941,중태,4,4,9,17
2084,서귀포,3,5,9,17
2085,동기,3,2,12,17
2180,콘텐츠,2,5,10,17
2017,신원,3,2,12,17
2178,실효,2,3,12,17
1851,목줄,5,2,10,17
2168,불법체류,2,1,14,17
1546,남아,7,3,7,17
1914,완료,4,4,9,17
1846,나체,5,3,9,17
2346,유인,1,2,14,17
2068,임산부,3,1,13,17
1571,중년,7,4,6,17
1882,상당,4,2,11,17
2229,교감,2,4,11,17
1653,배우자,6,5,6,17
2038,여파,3,3,11,17
1462,억원,7,3,7,17
2265,오류,2,1,14,17
1467,해운대,7,3,7,17
2282,경로,2,4,11,17
2260,그늘,2,3,12,17
1869,중앙회,4,1,12,17
1473,미제,7,1,9,17
1479,장교,7,5,5,17
2130,기한,3,2,12,17
2285,축사,2,1,14,17
2286,투기,2,3,12,17
2052,야근,3,3,11,17
1494,신한은행,7,3,7,17
1277,국가대표,9,2,6,17
1496,실시간,7,4,6,17
1723,환수,6,2,9,17
2289,은혜,1,5,11,17
1511,기증,7,1,9,17
2290,편입,1,4,12,17
2234,대폭,2,4,11,17
2354,확장,1,6,9,16
1634,주가조작,6,3,7,16
2008,가출,3,2,11,16
1298,직후,9,2,5,16
2395,이벤트,1,2,13,16
2328,등교,1,4,11,16
1567,변기,7,1,8,16
2235,기원,2,9,5,16
1923,맥주,4,1,11,16
2259,재개발,2,7,7,16
2253,수집,2,8,6,16
2248,연관,2,2,12,16
2247,성범죄자,2,4,10,16
2245,화장품,2,2,12,16
1874,소지,4,2,10,16
2323,학종,1,8,7,16
2159,쇼핑몰,2,3,11,16
2208,과연,2,6,8,16
2326,학교폭력,1,6,9,16
2203,법안,2,5,9,16
2191,처남,2,3,11,16
1916,베란다,4,4,8,16
2179,가중,2,1,13,16
2170,입찰,2,4,10,16
1658,인증샷,6,3,7,16
1632,마치,6,5,5,16
1728,인수,5,4,7,16
2066,빌라,3,2,11,16
1905,인격,4,4,8,16
2069,불공정,3,3,10,16
2088,영포,3,5,8,16
2087,기피,3,3,10,16
2048,수정,3,3,10,16
2103,사용자,3,5,8,16
2106,독립운동,3,8,5,16
1752,집안,5,1,10,16
1888,카메라,4,7,5,16
1694,이낙연,6,4,6,16
2020,데이,3,4,9,16
1706,여가부,6,3,7,16
1956,강조,4,4,8,16
1683,졸업,6,4,6,16
1690,연료,6,6,4,16
2032,회피,3,4,9,16
1725,부문,6,4,6,16
1836,낙서,5,2,9,16
2115,육박,3,7,6,16
2074,유학,3,3,10,16
2301,응시,1,4,10,15
2065,산업혁명,3,6,6,15
2291,역학,1,3,11,15
2062,설득,3,4,8,15
2026,애도,3,1,11,15
1783,이면,5,2,8,15
2232,수립,2,7,6,15
1950,자꾸,4,3,8,15
2221,보상금,2,2,11,15
1852,양보,5,3,7,15
2183,조류,2,5,8,15
2218,금은,2,2,11,15
2213,동성애,2,7,6,15
2325,하천,1,4,10,15
2195,착취,2,2,11,15
2073,청정,3,3,9,15
2333,주력,1,1,13,15
2209,실천,2,8,5,15
1931,지문,4,3,8,15
2200,공직,2,2,11,15
2201,외고,2,7,6,15
1998,출입국,4,2,9,15
1860,기분,4,1,10,15
2027,갑질,3,2,10,15
2022,조속,3,7,5,15
2112,누락,3,2,10,15
2380,표정,1,8,6,15
2366,단순,1,4,10,15
2010,보름,3,3,9,15
2031,피고,3,5,7,15
1969,미달,4,3,8,15
2262,배포,2,4,9,15
1872,양육,4,1,10,15
1625,배신,6,4,5,15
1677,가세,6,3,6,15
2141,날벼락,3,3,9,15
1825,재배,5,2,8,15
1981,총선,4,4,7,15
1904,인척,4,4,7,15
2144,충주,3,3,9,15
2146,되풀이,3,2,10,15
1993,용서,4,1,10,15
2284,완도,2,2,11,15
2151,부작용,3,2,10,15
1820,청부,5,2,8,15
2270,시공사,2,4,9,15
2036,회계,3,1,11,15
2271,리나,2,6,7,15
2057,곤란,3,2,10,15
1974,제보자,4,3,8,15
2382,발송,1,4,9,14
2273,번복,2,1,11,14
2207,번진,2,3,9,14
1701,전혀,6,3,5,14
2211,마케팅,2,7,5,14
2214,누나,2,2,10,14
2216,개교,2,5,7,14
2387,민낯,1,1,12,14
1386,탈북자,8,2,4,14
2311,실습,1,2,11,14
2386,도마,1,1,12,14
1961,푸드,4,2,8,14
1795,수치심,5,1,8,14
2054,먹튀,3,1,10,14
2055,중재,3,4,7,14
2217,봉쇄,2,2,10,14
1977,가나,4,3,7,14
2018,부순,3,2,9,14
1934,약사,4,3,7,14
2094,조사해,3,4,7,14
2160,오픈,2,3,9,14
1699,주먹,6,1,7,14
2092,파도,3,3,8,14
2341,식구,1,3,10,14
1943,태안,4,3,7,14
2171,다행,2,4,8,14
2105,매도,3,1,10,14
1765,보행,5,1,8,14
1921,외벽,4,5,5,14
2174,주가,2,4,8,14
2175,앙심,2,1,11,14
2096,치기,3,2,9,14
2176,압류,2,2,10,14
2345,악용,1,4,9,14
2086,수두,3,2,9,14
2083,졸음,3,2,9,14
2332,고작,1,1,12,14
2000,농약,4,3,7,14
1651,브랜드,6,2,6,14
2124,만족도,3,2,9,14
1674,블록,6,2,6,14
1933,점심,4,2,8,14
1999,갈수록,4,2,8,14
2355,학위,1,3,9,13
1901,토사,4,2,7,13
1911,입사,4,2,7,13
2016,살기,3,1,9,13
2279,계단,2,2,9,13
2280,친딸,2,1,10,13
2122,안성,3,4,6,13
1994,의견서,4,4,5,13
2049,불똥,3,4,6,13
2127,별거,3,2,8,13
2268,대국민,2,4,7,13
2257,집주인,2,3,8,13
1878,출입문,4,2,7,13
2391,좌절,1,4,8,13
2329,조준,1,4,8,13
1845,커뮤니티,5,3,5,13
2173,기장,2,4,7,13
2358,조물,1,3,9,13
2192,김치,2,6,5,13
2189,해지,2,4,7,13
2336,교환,1,4,8,13
2187,고속버스,2,3,8,13
1917,보조,4,5,4,13
2184,악몽,2,2,9,13
2373,시선,1,3,9,13
2035,손녀,3,3,7,13
1861,태국,4,1,8,13
1936,만기,4,2,7,13
2090,간음,3,2,8,13
1883,잔혹,4,2,7,13
2302,각종,1,3,8,12
2390,명분,1,5,6,12
2399,관람,1,6,5,12
2303,발끈,1,4,7,12
2308,마감,1,3,8,12
2310,조장,1,7,4,12
2294,멧돼지,1,4,7,12
2348,시아버지,1,1,10,12
2375,가입자,1,5,6,12
2357,갈취,1,2,9,12
2288,수령,2,3,7,12
2362,관리자,1,5,6,12
2400,기여,1,4,7,12
1675,체인,6,1,5,12
2167,소란,2,1,9,12
2071,재수감,3,4,5,12
1738,내면,5,3,4,12
2212,권익위,2,2,8,12
2206,모자,2,3,7,12
2204,비중,2,5,5,12
2080,불가능,3,3,6,12
2029,체감,3,2,7,12
2198,언어,2,3,7,12
1930,절벽,4,1,7,12
2028,특강,3,1,8,12
1978,고도,4,3,5,12
2012,상관,3,1,8,12
1982,기독교,4,3,5,12
2145,악의,3,3,6,12
2110,창의,3,4,5,12
2272,객실,2,2,8,12
2108,지기,3,2,7,12
2129,고령화,3,3,6,12
2242,술값,2,2,8,12
2243,전락,2,2,8,12
2162,바다로,2,2,8,12
1926,수제,4,2,6,12
2320,확충,1,2,8,11
2123,구비,3,1,7,11
2215,교대,2,5,4,11
1948,인연,4,1,6,11
2327,교육과정,1,5,5,11
2205,사다리,2,1,8,11
2165,공시생,2,1,8,11
2364,무전,1,2,8,11
2147,화재현장,3,1,7,11
2197,이어진,2,1,8,11
2188,구경,2,5,4,11
2361,외제차,1,2,8,11
1842,연간,5,1,5,11
2097,또래,3,1,7,11
2100,총기,3,2,6,11
1962,이념,4,1,6,11
2196,교내,2,1,8,11
2219,지갑,2,1,8,11
2002,헌법재판소,4,2,5,11
2237,사후,2,2,7,11
1805,자정,5,1,5,11
2227,절단,2,2,7,11
1815,점령,5,1,5,11
2384,역시,1,3,7,11
1896,차림,4,1,6,11
1928,한국판,4,2,5,11
2261,이내,2,3,6,11
2264,일자,2,2,7,11
2269,철저,2,1,8,11
1834,예능,5,1,5,11
1894,애견,4,1,6,11
2293,대포통장,1,2,7,10
1949,수영,4,1,5,10
2347,마중,1,4,5,10
1985,자초,4,1,5,10
2367,자도,1,3,6,10
2161,복용,2,1,7,10
2126,카지노,3,2,5,10
2238,이용자,2,2,6,10
2278,세월,2,1,7,10
2316,집착,1,2,7,10
2233,교량,2,3,5,10
2051,가위,3,1,6,10
2319,금주,1,2,7,10
2378,고함,1,2,7,10
2322,심층,1,1,8,10
2324,숨기,1,1,8,10
2223,자신감,2,2,6,10
2309,실력,1,3,6,10
2224,일해,2,3,5,10
2307,생존권,1,3,6,10
2202,강경,2,1,7,10
2193,층간소음,2,2,6,10
2335,퍼포먼스,1,3,6,10
2371,분산,1,3,6,10
2295,근본,1,3,6,10
2365,민폐,1,1,7,9
2389,신종,1,1,7,9
2044,스타벅스,3,1,5,9
2276,바닷가,2,1,6,9
2314,과열,1,3,5,9
2321,사직서,1,1,7,9
2297,협정,1,1,7,9
2298,김구,1,3,5,9
2300,막무가내,1,1,7,9
2231,홀인원,2,1,6,9
2225,홍수,2,2,5,9
2222,신념,2,1,6,9
2313,존폐,1,3,5,9
2220,냉장고,2,1,6,9
2250,칼부림,2,1,6,9
2252,딜레마,2,3,4,9
2241,이륙,2,2,5,9
2330,안장,1,2,6,9
2275,매입,2,2,5,9
2182,지망,2,2,5,9
2117,심해,3,1,5,9
2156,승강기,3,2,4,9
2154,차지,3,1,5,9
2349,후송,1,2,5,8
2292,경찰차,1,2,5,8
2393,설사,1,1,6,8
2296,애완견,1,1,6,8
2134,큰일,3,1,4,8
2299,외모,1,2,5,8
2351,포상,1,2,5,8
2306,현상,1,2,5,8
2185,파타야,2,1,5,8
2383,대포,1,1,6,8
2312,절감,1,2,5,8
2359,감봉,1,2,5,8
2181,타깃,2,1,5,8
2396,동아,1,1,6,8
2376,무관용,1,2,5,8
2045,레이저,3,1,4,8
2397,유골,1,1,5,7
2360,편법,1,1,5,7
2304,함정,1,2,4,7
2318,옹벽,1,1,5,7
2374,스크린,1,1,5,7
2338,투성이,1,1,5,7
